projectid,project_name,project_description,entity_name,entity_current_nt_allocation,latitude,longitude,bay_segment,project_type,project_status,initiation_year,estimated_completion_year,discontinued_year,completion_year,project_costs,estimated_load_reduction
682,City of Palmetto Reclaimed,"City of Palmetto (from report) - DonPatterson, Interm Public Works Director, said they are permitted for 2.4 MGD but currently averages 1.2 MGD over the year.  Currently they discharge 50% to Bay (2000) and hopes by 2004 to have 100% reuse.",City of Palmetto,Not Listed,27.547346,-82.58009,Terra Ceia Bay,Point Source,Completed,0.0,0.0,0.0,2000.0,,1.134
683,Dale Mabry Reclaimed,Minimize discharge of effluent by re-use of water through reclaimed water system.,Hillsborough County,Not Listed,28.068939,-82.527091,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,3.602
684,Van Dyke Reclaimed,Minimize discharge of effluent by re-use of water through reclaimed water system.,Hillsborough County,Not Listed,28.14314,-82.546069,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,1.004
685,Northwest and River Oaks Reclaimed,Minimize discharge of effluent by re-use of water through reclaimed water system.,Hillsborough County,Not Listed,28.084615,-82.605692,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,2.129
686,Falkenburg & Valrico Reclaimed,Minimize discharge of effluent by re-use of water through reclaimed water system.,Hillsborough County,Not Listed,27.952572,-82.335168,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,4.01
687,South County Reuse System,Minimize discharge of effluent by re-use of water through reclaimed water system.,Hillsborough County,Not Listed,27.723974,-82.385701,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,11.664
689,Stormwater Sediment Traps Pilot Project,"Sediment traps designed to catch 60 to 80 percent of small particles of dirt, sand and gravel before they reach the 
Hillsborough River and Tampa Bay. Total of 47 in the City of Tampa jurisdiction",City of Tampa,Not Listed,28.012172,-82.609611,Hillsborough Bay,Non-Point Source,Completed,2004.0,2005.0,0.0,2022.0,,
695,Booker Lake Alum Treatment Facility,An alum treatment system to inject alum into 2 large canals entering Booker Lake.,City of St. Petersburg,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,2005.0,2009.0,0.0,2009.0,,
696,McKay Bay-East Shore Commerce Park Parcel Stormwater Retrofit,A treatment train of a wet detention pond and constructed wetlands.,SWFWMD,Not Listed,27.962889,-82.347508,Hillsborough Bay,Non-Point Source,Completed,2000.0,2005.0,0.0,2006.0,,
697,"Water Conservation: Reflect, Connect, Celebrate",Water conservation and education program using District grants and volunteers.,SWFWMD,Not Listed,27.79,-82.442,All Segments,Non-Point Source,Completed,2003.0,2022.0,2022.0,2022.0,,
711,MiraBay Property,MiraBay aka Biscayne Canal was dredged in the 1960s as part of the Apollo Beach development then bought by Terrabrook in the late 90's for revitzlization.,Hillsborough County,Not Listed,27.748674,-82.429575,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1999.0,,
712,Balm Road Wetland and Stormwater Treatment Facility,"This 29 acre wetland creation is designed to filter agricultural runoff from approx. 1,100 acres that flows into Bullfrog Creek.",Hillsborough County,Not Listed,27.744119,-82.290208,Hillsborough Bay,Non-Point Source,Completed,2003.0,0.0,0.0,2004.0,,
713,Stormwater Research Facility at 132nd and Taliaferro,Created a series of 5 stormwater treatment ponds on the property. Site is located in the Curiosity Creek watershed which compromises the Hills. River watershed.,Hillsborough County,Not Listed,28.066534,-82.453662,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2002.0,,
714,Wares Creek Flood Reduction,Project involves replacing four bridges and improving the existing stormwater management systems at three locations.,Manatee County,   3M-5M,27.481496,-82.577983,Manatee River,Non-Point Source,Completed,2011.0,2015.0,0.0,2015.0,,
719,Alafia Banks Restoration Settling Pond,Alafia Bank Bird Sanctuary Restoration Project - 50-Acre Settling Pond,Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,0.0,2011.0,0.0,2011.0,,
722,Tampa Electric Company Powerline Redfish Nursery Habitat Creation Project,NULL,Hillsborough County,Not Listed,27.8671474492,-82.3578028485,,Non-Point Source,Unknown,0.0,0.0,0.0,0.0,,
742,McIntosh Park Water Quality/Wetland Enhancement,wetland creation and enhanced stormwater treatment using alum.,SWFWMD,Not Listed,28.071189,-82.129162,Hillsborough Bay,Non-Point Source,Completed,2002.0,2009.0,0.0,2009.0,,
751,Web-Based Integrated Land Management Plan,"Electronic, integrated land management plan accessed at: www.cargill-neb.com/cargill",Mosaic,Not Listed,27.8671474492,-82.3578028485,,Non-Point Source,Completed,2001.0,0.0,0.0,0.0,,
754,Oceanography Camp,A three-week camp for Pinellas County girls who have completed 8th grade designed to imspire and motivate young women to consider a career in science.,TBEP,Not Listed,27.8671474492,-82.3578028485,All Segments,Non-Point Source,Completed,0.0,0.0,0.0,2007.0,,
801,141st Avenue Outfall,NULL,SWFWMD,Not Listed,27.8671474492,-82.3578028485,Boca Ciega Bay,Non-Point Source,Completed,0.0,0.0,0.0,2007.0,,
802,Booker Lake Regional Stormwater Treatment Facility,Design and construction of a chemical treatment system using aluminum sulfate (alum) to treat stormwater inflows entering Booker Lake. See Project #695 for actual reductions.,SWFWMD,Not Listed,27.784186,-82.662602,Middle Tampa Bay,Non-Point Source,Completed,2005.0,2009.0,0.0,2011.0,,
804,FDOT 56th Street Retrofit,NULL,SWFWMD,Not Listed,28.025438,-82.393401,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2003.0,,
805,Gibsonton on the Bay,"Project involves design and construction of a drainage system and installation of CDS, Stormceptor or baffle box to enhance water quality.",SWFWMD,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
806,Lake Carroll (70th Street),NULL,SWFWMD,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,0.0,0.0,0.0,2009.0,,
807,Largo Stormwater Quality Retrofit - 101st Street,NULL,SWFWMD,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
808,McKay Bay - Melbourne Pond SW,Project objective is to retrofit the existing borrow pit to improve stormwater runoff discharging into McKay Bay.,SWFWMD,Not Listed,27.975039,-82.40983,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2006.0,,
810,River Hills Drive Outfall No. 1,NULL,SWFWMD,Not Listed,28.023494,-82.400513,Hillsborough Bay,Non-Point Source,Completed,2004.0,2005.0,0.0,2005.0,,
811,River Hills Drive Outfall No.2,NULL,SWFWMD,Not Listed,28.023494,-82.400513,Hillsborough Bay,Non-Point Source,Completed,2004.0,2005.0,0.0,2005.0,,
812,South Glen Arven Outfalls SW retrofit,NULL,SWFWMD,Not Listed,28.019724,-82.382928,Hillsborough Bay,Non-Point Source,Completed,2003.0,2004.0,0.0,2004.0,,
814,Sumner Road,NULL,SWFWMD,Not Listed,27.752228,-82.335362,Hillsborough Bay,Non-Point Source,Completed,0.0,2002.0,0.0,2002.0,,
817,River Garden Stabilization Study,"A 3.5 acre park; river bank suffers from erosion, crumbling sewalls. Project focuses on developing habitat, water quality by establishing wetlands along the west bank of the river.",SWFWMD,Not Listed,27.967857,-82.476088,Hillsborough Bay,Non-Point Source,Completed,2003.0,2005.0,0.0,0.0,,
818,Ribbon of Green Restoration Site,.62 acre parcel iprovements include total shoreline restoration/revegetation on portion of seawalled and riprapped shoreline.,SWFWMD,Not Listed,27.955258,-82.464764,Hillsborough Bay,Non-Point Source,Completed,2002.0,2005.0,0.0,0.0,,
819,Joe's Creek Greenway Park Stormwater Treat and Wetlands Restoration,"Part of the 'Vision for Lealman' project to provide stormwater treatment, LID parking project, educational signs, removal of exotic vegetation, restoration of wetlands",SWFWMD,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,2004.0,2007.0,0.0,2011.0,,
821,"Community Water-Wise Awards Program for Hillsborough, Pasco and Pinellas Counties","The Community Water-Wise Program recognizes 
homeowners, government entities, commercial 
building owners and builders who have created 
water-efficient, yet aesthetically pleasing landscapes 
in Hills., Pasco and Pinellas Counties.",Tampa Bay Water,Not Listed,27.79,-82.442,All Segments,Non-Point Source,Completed,0.0,0.0,0.0,0.0,"$35,000.00",
824,Water Conservation Messaging,A general public service announcement effort focuses on the traditional dry season of March through May.,SWFWMD,Not Listed,27.79,-82.442,All Segments,Non-Point Source,Completed,2004.0,0.0,0.0,0.0,,
826,South MacDill 48 Property Acquisition,"2003 update.  A 48-acre tract of land purchased by ELAPP in1992, secured grant from FCT to reimburse ELAPP and 
acquire City control.",City of Tampa,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2002.0,,
827,River Tower Park Site Acquisition,12.82 acres along Hills. River.  Site will be developed into a passive park with habitat and shoreline restoration.,City of Tampa,Not Listed,28.021363,-82.457406,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2002.0,,
830,North Tampa Pipeline,"Working to secure federal, SWFWMD and local funds. Could provide more than 28 mgd of reclaimed per day during dry season, conserving 18.7 mgd of drinking water.",City of Tampa,Not Listed,27.79,-82.442,All Segments,Non-Point Source,Planned,2007.0,0.0,0.0,0.0,,
832,Brooker Creek Watershed Education,The Pilot Brooker Creek Watershed Education Program provides watershed-specific information to a selected audience in a variety of ways.,SWFWMD,  50-100 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2002.0,2005.0,0.0,0.0,,
836,Starkey Park Exhibits,An environmental center was constructed in 2002. Watershed education goals.,SWFWMD,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2004.0,2005.0,0.0,0.0,,
842,Mosaic Riverview Closed Stack Lined Surge Ponds,"The lined ponds have reduced seepage from the 
closed stack such that surface water discharge at 
permitted outfall 024 has not occurred in 2004 and 
is not anticipated to occur during normal operations",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2004.0,,
843,"Mosaic Riverview, Modifications to Outfall Automation and Monitoring","Installation of a complex, automated system at the 
facility's main stormwater outfall (005) including 
redundant pH meters interlocked to shut down 
discharge in the event of excursions or elevated 
nutrient loads.",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2003.0,,
844,"Mosaic Riverview, Enhanced Housekeeping and Street Sweeping","Implementation of a regular street sweeping 
program at the facility and housekeeping rounds by 
plant personnel. The goal of these programs is to 
reduce in-plant spillage and recover as much 
fertilizer spillage as possible prior to affecting 
surf",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2004.0,,
845,"Mosaic Riverview, Improved drainage in Phosphoric Acid Production Areas","Implemented changes to stormwater routing within 
the facility to minimize/eliminate runoff from 
Phosphoric Acid production areas resulting in lower 
nutrient loading to the stormwater system and 
surface water discharge.",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,2005.0,0.0,0.0,2005.0,,
846,"Mosaic Mulberry, Transfer of Mulberry Phosphates process water",Implemented the transfer process water and treated water from the Mulberry Facility to the Bartow Facility to discharge into the Peace River Basin rather than the Alafia River.,Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,2005.0,2005.0,,
847,"Mosaic Mulberry, Transfer of Mulberry Phosphates process water","Implemented the transfer process water from the 
Mulberry Facility to the Bartow Facility to 
discharge into the Peace River Basin rather than 
the Alafia River.",Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
848,"Bartow Phosphate Complex, Enhanced Process Water Evaporation, Nutrient Load Prevention Project-2001","Development and implementation of large scale 
treated and untreated process water 
evaporation systems to reduce surface water 
discharge loadings through closure.",Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2001.0,,
849,"Bartow Phosphate Complex, Enhanced Process Water Evaporation, Nutrient Load Prevention Project","Same as project ID# 848, just different time period.  TN reduction for 2001-2005 is 6,600 lbs/yr.; 2006 is 16,600",Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Non-Point Source,Completed,0.0,2006.0,0.0,2006.0,,
850,New Stormwater Retrofit 2004,"Construction of Stormwater Retention System to contain first flush, settle solids, and attenuate nutrient discharges in contact runoff.",Kinder-Morgan/Pakhoed Dry Bulk Terminals,Not Listed,27.900782,-82.417799,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
851,"Plant City Phosphate Complex, Process Water Balance Improvements, Prevention Project","Three projects to reduce the volume of process water generated within the phosphogypsum stack system to avoid or eliminate future potential discharge of treated water, which contains elevated nitrogen and phosphorous.",Mosaic,Not Listed,28.160614,-82.153796,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1999.0,,
852,"Plant City Phosphate Complex, Process Water Balance Improvements, Prevention Project","Three projects to reduce the volume of process water generated within the phosphogypsum stack system to avoid or eliminate future potential discharge of treated water, which contains elevated nitrogen and phosphorous.",Mosaic,Not Listed,28.160614,-82.153796,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2004.0,,
853,"Plant City Phosphate Complex, Process Water Balance Improvements, Prevention Project","Three projects to reduce the volume of process water generated within the phosphogypsum stack system to avoid or eliminate future potential discharge of treated water, which contains elevated nitrogen and phosphorous.",Mosaic,Not Listed,28.160614,-82.153796,Hillsborough Bay,Non-Point Source,Planned,0.0,2005.0,0.0,0.0,,
854,Bartow Operations Phosphogypsum Stack System Closure,"Closure of 900 acre phosphogypsum stack 
system. Results in the elimination of trated 
process water discharges containing elevated 
N and P by 2010, siginificant reductions 
beginnings 2007 to 2008. Also represents 
permanent closure of former opera",Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Non-Point Source,Planned,2007.0,2014.0,0.0,0.0,,
855,"Mulberry RO Process Water Treatment, Prevention Project","Implementation of reverse osmosis treatment of 
process wastewater from the Mulberry plant to 
minimize overall nutrient loading.",Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Non-Point Source,Completed,0.0,2006.0,0.0,2006.0,,
856,Mulberry/Bartow Regional Process Water Storage Pond and R/O Treatment,"Construct a regional lined process water storage 
impoundment and RO treatment system for the 
avoidance of treated process water discharges, 
but providing for high quality effluent if discharges 
are required. ",Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Non-Point Source,Completed,0.0,2010.0,0.0,2010.0,,
857,"Mulberry, Closure of Mulberry phosphogypsym stack",Details to be provided in early November 2005.,Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Non-Point Source,Planned,0.0,2020.0,0.0,0.0,,
861,FL Friendly Landscape Program and Assistance with Irrigation-Landscape Ordinances,"Tampa Bay Water supplies wholesale drinking water to Hillsborough, Pasco and Pinellas Counties, and the Cities of New Port Richey, St. Petersburg and Tampa. Tampa Bay Water and its predecessor agency began annual funding for a landscape and irrigation system design, installation and maintenance program with a focus on non-point source pollution reduction. In 1995, funding was provided through contracts for staff positions in Hillsborough and Pinellas counties; in 1998, the program expanded to include a full-time position for Pasco County. In 2001, Tampa Bay Water began coordination of a model landscape and irrigation ordinance that was used by four Member Governments to adopt similar ordinances. A comprehensive evaluation of landscape and irrigation ordinance implementation (includes use of Florida-friendly landscape techniques) was completed in 2005, and implementation was coordinated with affected Member Governments, the Southwest Florida Water Management District and the Florida Irrigation Society. In August of 2017, as a result of work done in Pasco County on new development, the Tampa Bay Water Board of Directors directed the Agency to evaluate all member government landscape and irrigation ordinances, and to make recommendations on potential changes to further enhance water conservation and efficiency aspects.

The Florida Friendly Landscape Program (formerly titled Florida Yards and Neighborhoods) is a multi-curriculum water conservation program developed to accentuate existing Member Government programs and focuses on nine landscape principles including water use efficiency. The overall program goal is to foster a sense of environmental stewardship among citizens by increasing awareness and understanding of natural systems and resources, and how they relate to ecology, economy and quality of life. This is accomplished through a coordinated hands-on environmental education program promoting responsible actions by homeowners, builders, businesses, homeownersâ€™ associations and others to conserve water and improve water quality by reducing polluted runoff from yards and other landscaped areas. The Florida Friendly Landscape Program emphasizes designing, installing and retrofitting existing landscapes to more Florida friendly landscapes that lead to increases in water use efficiency. Program materials developed promote the concepts of water conservation, environmental enhancement, and pollution prevention, and it is well received by the public throughout the region and state. 

Florida Friendly Landscape Program funding affects all areas in the Tampa Bay region, and agreements between Tampa Bay Water and the program are administered through Hillsborough, Pasco and Pinellas counties. Each county provides, at a minimum, an overall program coordinator and a public education coordinator focusing on water use efficiency-related program elements who work through their respective local Extension Service office.  The Agreement requires overall coordination and oversight from individual county advisory committees, Extension Service horticulture agents, annual report generation, plan-of-work and expenditure approvals, specific coordination meetings with member governments, and identification of the effectiveness of the overall program and the public education component specifically. A multi-county advisory committee serves to enhance program focus with member governments, other local governments and specific private sector entities. The Hillsborough County program includes coordination and development of the tri-county annual (water year) report which is produced each fall.",Tampa Bay Water, 250-500 K,27.79,-82.442,All Segments,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
862,Landscape and Irrigation Permit and Code Enforcement Training Program,"Tampa Bay Water supplies wholesale drinking water to Hillsborough, Pasco and Pinellas Counties, and the Cities of New Port Richey, St. Petersburg and Tampa. Tampa Bay Water assisted the Florida Irrigation Society with creation of a site manager certification program that was used to train personnel that manage large landscape and irrigation systems.  The program provided continuing education units for permit enforcement staff training on landscape and irrigation ordinance review.

In accordance with the University of Florida Institute of Food and Agricultural Sciences recommendation, the Florida Irrigation Society is now promoting the national Irrigation Association irrigation auditor training program and Tampa Bay Waterâ€™s former project has been discontinued. In the future, there is continued potential to modify existing landscape and irrigation codes to increase water use efficiency in new and existing development, and Tampa Bay Water will be involved in some aspect of training.",Tampa Bay Water,Not Listed,28.019236,-82.21548,All Segments,Non-Point Source,Planned,2004.0,0.0,0.0,0.0,,
863,Smart Water Application Technologies Workshop and Training,"Tampa Bay Water supplies wholesale drinking water to Hillsborough, Pasco and Pinellas Counties, and the Cities of New Port Richey, St. Petersburg and Tampa. To promote water conservation and enhance water use efficiency for new and existing development in the Tampa Bay region, Tampa Bay Water funds the Florida Friendly Landscape program encouraging the installation of water efficient landscapes and irrigation for new and existing development (see ID 861), along with support for development of related technology. As the use of tested and verified technology is a key component to increasing efficiency of water use, Tampa Bay Water also funds an annual University of Florida Institute of Food and Agricultural Sciences (IFAS) Smart Water Applications Technology workshop.

Tampa Bay Water co-sponsors this workshop with the Florida Irrigation Society (FIS) and IFAS, with the FIS coordinating invitations to irrigation and building contractors along with sponsorships from irrigation vendors. Member government conservation staff along with Florida Friendly Landscape Program staff are also invited to attend. The FIS coordinates the provision of Continuing Education Units (CEUs) for contractors. Improved irrigation practices and measurement approaches help use limited water resources more efficiently, and can also improve water quality by reducing polluted runoff from yards and other landscaped areas. In addition to advancing development of water use efficiency-related technology, this workshop provides an important educational and networking opportunity for irrigation and building contractors, vendors, researchers and local government staff.",Tampa Bay Water,   5-25 K,27.826351,-82.752508,All Segments,Non-Point Source,Completed,2003.0,0.0,0.0,0.0,,
864,Downstream Augmentation Project,NULL,Tampa Bay Water,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,2004.0,2011.0,2011.0,0.0,,
865,Hydrobiological Monitoring Program,"Tampa Bay Water operates a large interconnected system including groundwater, river withdrawals, a reservoir 
and seawater desalination to provide drinking water for more than 2 million people in the Tampa Bay region. 
Tampa Bay Waterâ€™s Hydrobiological Monitoring Programs (HBMP) were designed and implemented to monitor 
water quality, vegetation, habitat, fish, wildlife and recreational/aesthetic conditions in the lower Hillsborough 
River, Alafia River, McKay Bay/ Tampa Bypass Canal, as well as Hillsborough Bay, and includes nearshore 
monitoring in the Apollo Beach/Big Bend area. Types of data that have been collected include water quality, fish 
and plankton sampling, bird surveys, and vegetation monitoring.  Monitoring activities are coordinated with 
other local environmental monitoring agencies.

Tampa Bay Waterâ€™s HBMP has ensured that water supply projects have not adversely impacted river or Bay 
resources, and have provided comprehensive monitoring data to increase the scientific understanding of these 
estuarine systems. HBMP data have been used by the Southwest Florida Water Management District for MFLs 
and other studies, the University of South Floridaâ€™s College of Marine Science and the Florida Wildlife Research 
Institute. Several cooperative projects have also been completed by Tampa Bay Water with USEPA, the TBEP 
and others to help address specific data or information needs for Bay managers.

Current HBMP data collection and evaluation focuses on ambient water quality conditions and watershed 
linkages: continuous water quality recorder measurements, in situ water quality profiles, continuous chlorophyll 
transect measurements under various flow conditions, and statistical and mechanistic modeling. 

Additional information is available on Tampa Bay Waterâ€™s website (www.tampabaywater.org), and all HBMP 
documents and related reports are available upon request from Tampa Bay Waterâ€™s Records Department.",Tampa Bay Water,500K-1M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,1999.0,0.0,0.0,0.0,,
866,Wellfield Environmental Management Programs,"Tampa Bay Water operates a large interconnected system including groundwater, river withdrawals, a reservoir 
and seawater desalination to provide drinking water for more than 2 million people in the Tampa Bay region. 
Groundwater continues to be a vital part of the Tampa Bay regionâ€™s water supply, with more than 50 percent of 
the regional supply coming from wellfields. Some of the wellfields in Tampa Bay Waterâ€™s system have been 
pumping groundwater for over 50 years. Though groundwater pumping has been drastically cut back, in the 
past very high rates of pumping from these wellfields contributed to lower water levels in some of the regionâ€™s 
lakes and wetlands.

Wellfield environmental management plans (EMP) including hydrological and ecological monitoring have been 
implemented for wetlands, streams and lakes in all Tampa Bay Water wellfield areas in the Tampa Bay 
watershed.  EMPs are designed to monitor and evaluate hydrological and ecological conditions in relation to 
potential environmental perturbations that could occur naturally (e.g., climatic events or biotic disturbances) or 
from human activity (e.g., wellfield production, ditching, or drainage).  EMP data collection and analysis includes 
water levels, wetland health, stream and spring discharge, water quality, rainfall and evaporation, 
qualitative/quantitative vegetation data evaluation, incidental wildlife observations, and aerial photo-
interpretation of land use and ecological changes. EMP data are used by Tampa Bay Water, the SWFWMD, and 
other environmental researchers for minimum flows and levels studies, development of remote sensing tools for 
impact monitoring, and the identification of key monitoring indicators.

Reduced wellfield pumping has resulted in higher groundwater levels and environmental recovery in some 
impacted lakes and wetlands. Tampa Bay Water is also preparing a comprehensive Recovery Assessment Plan 
that includes assessment of environmental recovery due to pumping cutbacks, and identification and evaluation 
of potential options to address any remaining impacts. As this is the first assessment of its kind in Florida, 
Tampa Bay Water is working closely with the Southwest Florida Water Management District to develop and apply 
specific data collection and assessment methods to determine environmental recovery from reduced 
groundwater pumping, including assessment of development-related wetland impacts associated with surface 
drainage and land-use changes. Completion of the Recovery Assessment Plan is scheduled for December 2018.",Tampa Bay Water,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
867,Source Water Protection - Land Use and Development Review Program,"Tampa Bay Waters Land Use and Development Proposal Review Program (Program) is an ad-hoc program, 
intended to help protect the agencyâ€™s drinking water supply sources by reviewing member governments land 
use/rezoning applications and mining/borrow pit applications, providing technical and planning analysis, and 
suggesting development conditions for those developments that pose the most threat to agencys drinking 
water supply sources. The program initially started in the 1980s with the review of Developments of Regional 
Impacts documents to determine where suitable future groundwater supplies might be developed consistent 
with regional forecasts for growth. The program evolved over the years and Tampa Bay Water staff have 
provided assistance to member governments for development of local wellhead and source water protection 
ordinances. The Land Use and Development Proposal Review Program currently includes review of proposed 
development projects under member government wellhead and surface water protection ordinances, rezoning 
applications, and mining and borrow pit applications.",Tampa Bay Water,Not Listed,27.79,-82.442,All Segments,Non-Point Source,Completed,2003.0,0.0,0.0,0.0,,
868,Source Water Monitoring Programs,"Tampa Bay Water operates a large interconnected system including groundwater, river withdrawals, a reservoir 
and seawater desalination to provide drinking water for more than 2 million people in the Tampa Bay region. 
Tampa Bay Waterâ€™s Source Water Monitoring Programs include watershed/water quality monitoring, source 
vulnerability assessments with identification of potential contaminant sources, and development of a 
standardized GIS-based platform and information system to facilitate data assessment and risk mitigation 
activities.  

Tampa Bay Waterâ€™s Source Water Monitoring Programs include waterbody and tributary monitoring, and discrete 
and continuous water quality data collected by Tampa Bay Water and different local, state and federal entities. 
General monitoring objectives including source reliability, operational needs, short and long-term trend 
analyses, and assessment of changing watershed conditions. Tampa Bay Water has implemented a 
comprehensive GIS platform and information system to improve source water assessment, data management 
and analysis. This system dynamically links regularly updated federal, state and local databases for different 
potential contaminant sources, chemical risk information and water quality monitoring data, and facilitates 
assessment and reporting. Enhanced data assessment and risk management considerations are being 
addressed through special studies with the Water Research Foundation and other organizations.",Tampa Bay Water,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2004.0,2021.0,0.0,0.0,,
920,Onsite Stormwater Management System,"Construction of stormwater retention system to contain first flush, settle solids, and attenuate nutrient discharges in contact runoff.",Kinder-Morgan/Pakhoed Dry Bulk Terminals,Not Listed,27.900782,-82.417799,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,1998.0,,
921,"Kinder-Morgan Tampaplex Terminal (formerly, IMC Port Sutton) Elimination of Heating Water Discharge",Replacement of deep groundwater withdrawl/discharge with Bay water discharge for ammonia loading system.,Kinder-Morgan/Pakhoed Dry Bulk Terminals,Not Listed,27.900782,-82.417799,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
922,Stormwater Connection to Hookers Point Wastewater Treatment Plant,The existing stormwater management system was replaced with a direct connection to the Hookers Point Wastewater Treatment pland for all contact stormwater discharges during 2005.,CSX Transportation,Not Listed,27.916449,-82.417664,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
923,Seminole Bypass Canal Regional Stormwater Treatment Facility,"Diverted water from the Seminole Bypass Canal will 
be treated with alum to achieve at 90% reduction in 
TP, 35% reduction in TN and 85% reduction in TSS.",Pinellas County,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,2004.0,2012.0,0.0,2012.0,,
924,Alum Treatment of Priority Subbasins Discharging to Lake Seminole,"Alum treatments of stormwater systems in Lake 
Seminole SubBasins 1,3,6, and Bypass Canal.",Pinellas County,Not Listed,27.84,-82.7809,Boca Ciega Bay,Non-Point Source,Completed,2007.0,2012.0,0.0,2012.0,,
925,Lake Tarpon Water Quality Area 6 Alum Treatment,"An FDOT treatment pond will be retrofitted with an 
alum injection system to achieve a 90% reduction in 
TP, 40% reduction in TN, and 90% reduction in TSS.",Pinellas County & FDOT,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2006.0,2012.0,0.0,2012.0,,
926,Lake Tarpon Water Quality Area 23 Alum Treatment,"Waters discharging into Lake Tarpon will be retrofitted with an alum injection system to achieve a 90% reduction in TP, 40% reduction in TN, and 90% reduction in TSS.",Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Discontinued,2006.0,2009.0,2010.0,0.0,,
927,Lake Tarpon Water Quality Area 63 Alum Treatment,"Waters discarging to Lake Tarpon will be retrofitted with an alum injection system to achieve a 90% reduction in TP, 40% reduction in TN, and 90% reduction in TSS.",Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Discontinued,2006.0,2009.0,2010.0,0.0,,
928,Braden River Park of Commerce,The developer of the Braden River Park of Commerce is proposing the preservation of a 200 acre upland/oligohaline parcel for mitigation for the removal of 7 acres of wetlands during development.,Manatee County,Not Listed,27.59344,-82.675961,Lower Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,2007.0,,
929,Robinsons Preserve,140 acre wetland restoration project on 400 acre site.  Much of the property was used for agriculture use prior to conservation.,Manatee County,Not Listed,27.517668,-82.667251,Lower Tampa Bay,Non-Point Source,Completed,2006.0,2006.0,0.0,0.0,,
